R,n,tick,loss,throughput
500000.0,500,0.0001,0.80413,9780.326
500000.0,500,0.0005,0.80413,9780.326
500000.0,500,0.001,0.80413,9780.326
500000.0,500,0.005,0.810167,9481.503
500000.0,1000,0.0001,0.624705,28175.366
500000.0,1000,0.0005,0.624705,28175.366
500000.0,1000,0.001,0.624705,28175.366
500000.0,1000,0.005,0.636438,27137.819
500000.0,1500,0.0001,0.464709,53687.741
500000.0,1500,0.0005,0.464709,53687.741
500000.0,1500,0.001,0.464709,53687.741
500000.0,1500,0.005,0.47838,51866.749
500000.0,2000,0.0001,0.333023,83297.228
500000.0,2000,0.0005,0.333023,83297.228
500000.0,2000,0.001,0.333023,83297.228
500000.0,2000,0.005,0.344918,81099.675
500000.0,2500,0.0001,0.0,150114.395
500000.0,2500,0.0005,0.0,150114.395
500000.0,2500,0.001,0.0,150114.395
500000.0,2500,0.005,0.0,150114.395
1000000.0,500,0.0001,0.802379,9865.268
1000000.0,500,0.0005,0.802379,9865.268
1000000.0,500,0.001,0.802917,9840.505
1000000.0,500,0.005,0.809895,9495.595
1000000.0,1000,0.0001,0.613354,29044.205
1000000.0,1000,0.0005,0.613354,29044.205
1000000.0,1000,0.001,0.613766,29001.962
1000000.0,1000,0.005,0.63297,27370.408
1000000.0,1500,0.0001,0.434397,56686.424
1000000.0,1500,0.0005,0.434397,56686.424
1000000.0,1500,0.001,0.434945,56598.382
1000000.0,1500,0.005,0.465292,52988.245
1000000.0,2000,0.0001,0.27287,90715.419
1000000.0,2000,0.0005,0.27287,90715.419
1000000.0,2000,0.001,0.273313,90599.352
1000000.0,2000,0.005,0.311397,84595.74
1000000.0,2500,0.0001,0.0,150114.545
1000000.0,2500,0.0005,0.0,150114.545
1000000.0,2500,0.001,0.0,150114.545
1000000.0,2500,0.005,0.0,150114.545
2000000.0,500,0.0001,0.801407,9914.823
2000000.0,500,0.0005,0.801655,9902.433
2000000.0,500,0.001,0.802551,9857.505
2000000.0,500,0.005,0.809821,9499.176
2000000.0,1000,0.0001,0.607582,29489.662
2000000.0,1000,0.0005,0.6078,29468.333
2000000.0,1000,0.001,0.609707,29292.689
2000000.0,1000,0.005,0.631591,27451.954
2000000.0,1500,0.0001,0.416567,58407.579
2000000.0,1500,0.0005,0.416825,58372.047
2000000.0,1500,0.001,0.41911,58077.782
2000000.0,1500,0.005,0.46017,53379.635
2000000.0,2000,0.0001,0.237547,94898.488
2000000.0,2000,0.0005,0.237814,94837.681
2000000.0,2000,0.001,0.239849,94475.459
2000000.0,2000,0.005,0.297887,85812.491
2000000.0,2500,0.0001,0.0,150114.62
2000000.0,2500,0.0005,0.0,150114.62
2000000.0,2500,0.001,0.0,150114.62
2000000.0,2500,0.005,0.0,150114.62
