data_queue,token_queue,loss,throughput,time,arrivals,blocked
1,8000,0.304036,13.945695,717.067151,14370,4369
5,8000,0.255525,14.915153,670.459104,13439,3434
10,8000,0.251458,14.997361,666.783963,13370,3362
20,8000,0.250711,14.997356,666.7842,13370,3352
30,8000,0.249963,14.997356,666.7842,13370,3342
40,8000,0.249215,14.997356,666.7842,13370,3332
50,8000,0.248467,14.997356,666.7842,13370,3322
1,12000,0.286306,14.275499,700.500905,14013,4012
5,12000,0.254398,14.938927,669.392104,13416,3413
10,12000,0.251384,14.998125,666.75002,13370,3361
20,12000,0.250636,14.998121,666.7502,13370,3351
30,12000,0.249888,14.998121,666.7502,13370,3341
40,12000,0.24914,14.998121,666.7502,13370,3331
50,12000,0.248392,14.998121,666.7502,13370,3321
1,16000,0.277019,14.461307,691.500408,13833,3832
5,16000,0.253619,14.955862,668.634144,13402,3399
10,16000,0.251384,14.998868,666.716963,13370,3361
20,16000,0.250636,14.998859,666.717371,13370,3351
30,16000,0.249888,14.998859,666.717371,13370,3341
40,16000,0.24914,14.998859,666.717371,13370,3331
50,16000,0.248392,14.998859,666.717371,13370,3321
1,20000,0.27002,14.631013,683.47966,13699,3699
5,20000,0.252913,14.968556,668.067104,13388,3386
10,20000,0.251309,14.99961,666.68402,13370,3360
20,20000,0.250561,14.999624,666.683371,13370,3350
30,20000,0.249813,14.999624,666.683371,13370,3340
40,20000,0.249065,14.999624,666.683371,13370,3330
50,20000,0.248317,14.999624,666.683371,13370,3320
1,24000,0.265443,14.730234,678.875862,13615,3614
5,24000,0.252578,14.978263,667.634144,13382,3380
10,24000,0.251309,15.000353,666.650963,13370,3360
20,24000,0.250561,15.000373,666.650089,13370,3350
30,24000,0.249813,15.000373,666.650089,13370,3340
40,24000,0.249065,15.000373,666.650089,13370,3330
50,24000,0.248317,15.000373,666.650089,13370,3320
1,32000,0.25935,14.852216,673.30022,13503,3502
5,32000,0.252056,14.991736,667.034144,13374,3371
10,32000,0.251272,15.001861,666.583963,13368,3359
20,32000,0.250524,15.00186,666.58402,13368,3349
30,32000,0.249776,15.00186,666.58402,13368,3339
40,32000,0.249028,15.00186,666.58402,13368,3329
50,32000,0.248279,15.00186,666.58402,13368,3319
